GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj
gene-J2S48_RS18870	3790.70479426562	-3.49112551340336	0.297407215178594	-11.738536710708	8.08735991420824e-32	1.66647186938067e-29
gene-J2S48_RS10185	45247.2998548647	6.05033456097239	0.528794797091952	11.4417437430276	2.58634354919498e-30	5.0333119182389e-28
gene-J2S48_RS13845	3299.89762144301	3.11753370173927	0.273842032557581	11.3844236132148	4.99977332498315e-30	8.81278468557312e-28
gene-J2S48_RS02120	350.654888207107	-4.65100776596121	0.408561178134564	-11.3838710452058	5.0315641938756e-30	8.81278468557312e-28
gene-J2S48_RS20595	2320.37298380218	3.42201822756359	0.301320316304554	11.3567457698566	6.86546468263583e-30	1.14522489444159e-27
gene-J2S48_RS14420	4456.22097244858	-3.61020345238754	0.3213214362898	-11.2354889672891	2.72978313485028e-29	4.34655923699116e-27
gene-J2S48_RS20105	409.630729458551	-4.04299134161847	0.365608545998265	-11.0582517445794	1.9995690821188e-28	3.04543064985311e-26
gene-J2S48_RS20885	1563.75251805243	-3.96095476123002	0.359080633294134	-11.0308225896034	2.71371455594782e-28	3.9608925372855e-26
gene-J2S48_RS16725	409.29570477761	-4.30141957556549	0.394120707185998	-10.9139649278451	9.88488585853046e-28	1.38507020649729e-25
gene-J2S48_RS12905	582.293079247695	-3.93508463207587	0.364334941469356	-10.8007335673206	3.41464476051548e-27	4.60057715234066e-25
MSTRG.3234.1	569.802485274414	-3.65274413378856	0.341327877914871	-10.701569869132	1.00068307027231e-26	1.29829362783849e-24
gene-J2S48_RS20880	578.393541863501	-4.42047262966921	0.413697980484343	-10.6852651890973	1.19307589344444e-26	1.49262316240567e-24
MSTRG.1650.1	44112.4032221786	-6.00406223837642	0.570145152399393	-10.5307608301307	6.23286471982617e-26	7.52887072881072e-24
gene-J2S48_RS04025	488.226831309275	-4.23041167885796	0.403173899994993	-10.4927716772105	9.32520064484989e-26	1.08887259529697e-23
gene-J2S48_RS16555	20120.288532667	-4.71115250399752	0.449941812968954	-10.4705816801307	1.17916186093321e-25	1.33245290285453e-23
gene-J2S48_RS25950	1236.58847563249	3.09940346822419	0.296209119675684	10.4635653068943	1.26985587289123e-25	1.39009535085562e-23
gene-J2S48_RS17270	5374.8117468712	3.45172182955409	0.331009016594144	10.4278785667833	1.84971882666766e-25	1.96350456055054e-23
gene-J2S48_RS25930	570.277755219053	3.92227281873767	0.37844553644615	10.3641672077054	3.60888315776826e-25	3.71821108872418e-23
gene-J2S48_RS25910	860.097846037744	-4.15734642733745	0.402313469030376	-10.3335999099338	4.96610927570421e-25	4.97036594079767e-23
MSTRG.487.1	5097.20610955549	-3.39965904252835	0.331342943913378	-10.2602427635131	1.06438814302521e-24	1.03570879583814e-22
MSTRG.72.1	3243.92700325759	2.61333909583472	0.254976051931815	10.2493511686093	1.19140586785967e-24	1.12797155543579e-22
gene-J2S48_RS16800	449.877087726002	4.18469388968799	0.408613459230284	10.2412042363235	1.29612923035836e-24	1.19482649840667e-22
gene-J2S48_RS13780	894.074804665993	3.31594596608555	0.324735104741141	10.2112334566625	1.76605332069009e-24	1.58627814932754e-22
gene-J2S48_RS25310	2137.54820684477	2.92296148275544	0.287215835909522	10.1768813460419	2.5149239489744e-24	2.20244464831433e-22
rna-J2S48_RS06045	663.875201227452	-3.73295141201693	0.37097626711245	-10.0625073433213	8.09109502424424e-24	6.91295265120185e-22
gene-J2S48_RS06720	411.909494691217	-4.72035919826582	0.472090830261916	-9.99883686714899	1.54197478494887e-23	1.28608039801807e-21
gene-J2S48_RS12825	1548.6964418871	-3.84329838019893	0.385829219403029	-9.96113872906111	2.25465271979735e-23	1.7950110176023e-21
rna-J2S48_RS15025	361.276000460169	-5.07269716876012	0.509216346936155	-9.96177204302541	2.24033379981963e-23	1.7950110176023e-21
gene-J2S48_RS14920	19708.3142465184	-2.76545424868808	0.277820362226031	-9.95410929036996	2.41979984811933e-23	1.883679748436e-21
MSTRG.1298.1	2743.75881960794	-3.69432756994363	0.371610085908121	-9.94140823954128	2.74912864379126e-23	2.04897822110655e-21
gene-J2S48_RS13770	59093.2245727178	-4.35577213464627	0.438109836575513	-9.94219205095502	2.72757841581481e-23	2.04897822110655e-21
