GeneID	BaseMean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj
TCONS_00000727	15519.5952564539	-5.29585398992128	0.11019461310676	-48.0591005368883	0	0
TCONS_00001809	2285.32015802914	5.23957915435165	0.134243506981205	39.0304102758969	0	0
TCONS_00003037	11391.5859971332	3.82309406205628	0.084774322498054	45.0973118911571	0	0
TCONS_00004284	9866.44307818511	4.7344576878857	0.125706178790701	37.6628876434824	0	0
TCONS_00003689	1865.268112226	5.57465560520143	0.151889945660518	36.7019395586661	6.80091249790892e-295	5.84742456570209e-292
TCONS_00003688	2392.52156560615	3.73487807097608	0.104081297302929	35.884238261421	5.38089021350947e-282	3.85540783797953e-279
TCONS_00004909	10518.9796401203	-3.22175552188772	0.100557429769976	-32.0389605149758	3.12812763230754e-225	1.92111724161288e-222
TCONS_00004351	1660.11322258093	-3.39921881886163	0.106178085545798	-32.0143163383318	6.89276807278549e-225	3.7040012431131e-222
TCONS_00000289	1285.54778317703	4.71448138128244	0.150230232919425	31.3817085260795	3.59497010806654e-216	1.71719738828645e-213
TCONS_00001428	1627.53892412728	-3.07631721845359	0.101792132588348	-30.221561728099	1.23390393136596e-200	5.30455300094228e-198
TCONS_00005164	726.33550406638	-3.44776984024492	0.117699063411087	-29.2930949518513	1.26996122799301e-188	4.96323938103814e-186
TCONS_00000917	5536.60508689085	2.7757423542063	0.102702696958384	27.0269665394577	7.12599222848395e-161	2.55288671585437e-158
TCONS_00001737	9460.9398289754	-4.86320408912623	0.181080869163704	-26.8565316236123	7.07595409946231e-159	2.33996359027604e-156
TCONS_00002244	10576.7952734733	-2.08057582612698	0.0792372835033756	-26.2575360251762	5.86290666762569e-152	1.80033112600877e-149
TCONS_00005189	18297.2429179435	-2.57588199403974	0.0989585094532653	-26.0299190870113	2.27124143545908e-149	6.50937795402572e-147
TCONS_00004771	967.898543921068	-2.67970979044549	0.104037902884754	-25.7570531137473	2.6872798828653e-146	7.2203851352737e-144
TCONS_00002333	5961.66006373683	-2.5043707053175	0.0974222507287633	-25.7063523638969	9.92553336310878e-146	2.5099922310591e-143
TCONS_00002856	730.317775854229	-4.17822544385388	0.16333188561117	-25.581198846872	2.46999179058372e-144	5.89916372651078e-142
TCONS_00003038	716.10452813072	3.84923550534061	0.151427878067198	25.4195961435348	1.53157367470765e-142	3.465386961878e-140
TCONS_00000340	1377.10153900338	-2.93537240287444	0.115742719779806	-25.3611839125502	6.76456908971517e-142	1.45404412583428e-139
TCONS_00005545	6687.31836277725	-2.20538127052602	0.0870466711144179	-25.3356187237439	1.29454019783304e-141	2.6501087192782e-139
TCONS_00005108	37263.9868697362	-1.91765540528419	0.0762810789032731	-25.1393324905098	1.84874639623986e-139	3.61261852610689e-137
TCONS_00001371	1174.42537471894	-2.56899103808864	0.102362503207973	-25.0969931134758	5.36381490531659e-139	1.00256696860678e-136
TCONS_00003409	703.598130548115	3.46522572590473	0.138192019081545	25.0754403107747	9.21848011608018e-139	1.65126025079286e-136
TCONS_00002065	1014.48323739258	4.41137105182276	0.177319106361157	24.8781484542215	1.28280226750163e-136	2.2059067791958e-134
TCONS_00004306	2637.17272425332	-2.04927096923241	0.0835778740025595	-24.519300038305	9.19694880257217e-133	1.5206801116253e-130
TCONS_00000437	16175.3588883452	1.99643608705261	0.0815489192679515	24.4814536473839	2.32815741711953e-132	3.70694397636921e-130
TCONS_00001545	747.32454301757	-2.74904170517495	0.112347720836549	-24.4690473888157	3.15575775996539e-132	4.84521521788972e-130
TCONS_00000438	17441.9535013635	1.86355140168632	0.0765386026920835	24.3478628579545	6.10750947018287e-131	9.05385628010902e-129
TCONS_00000350	828.314666504946	-3.03214695503591	0.126212716451889	-24.0241002672004	1.55742830897517e-127	2.23179476676142e-125
TCONS_00003338	2710.09926195697	-2.35912706174827	0.099784149607343	-23.6423026205223	1.41640190235852e-123	1.96422960588363e-121
TCONS_00004086	1446.82310175712	-2.15643112318907	0.0914259743587581	-23.5866353988985	5.28578224569603e-123	7.10111808570226e-121
TCONS_00000426	3434.93993954339	2.54620247888545	0.109072851559371	23.344053469616	1.58381203780153e-120	2.06327513651782e-118
TCONS_00004644	3095.97188341694	-1.99484003996694	0.0866891729446604	-23.0114092937578	3.58341366902204e-117	4.53091040091934e-115
TCONS_00000341	465.264508221524	-3.03867464669355	0.13249152870411	-22.934859884361	2.08679688137165e-116	2.56318279800477e-114
TCONS_00005258	1875.85967041978	3.03209807911421	0.132219044863955	22.9323852871124	2.20888811420871e-116	2.63778055638423e-114
TCONS_00001372	884.513358887022	-2.43411597164593	0.107797982194349	-22.5803481855296	6.76140247861391e-113	7.85601871771924e-111
TCONS_00000238	2899.77042333751	-2.06343716854449	0.0919204062952361	-22.4480858136876	1.33602069973605e-111	1.51146131267508e-109
TCONS_00001939	5770.40803927139	-2.69561927466817	0.120306291098219	-22.4063035279463	3.41647975274533e-111	3.76601191206466e-109
TCONS_00001367	423.547791660243	-3.57632424298393	0.160324863828602	-22.3067349479071	3.17868796984087e-110	3.41629489558648e-108
TCONS_00001678	29188.7299391682	-4.12411822381466	0.185432447983575	-22.2405424113258	1.3926271548531e-109	1.46022052163743e-107
TCONS_00004059	2937.74930223542	-3.20235376750096	0.1446327226553	-22.1412810926133	1.26587192990102e-108	1.29571033967726e-106
TCONS_00001675	767.952285428505	-2.56455923773825	0.116603541872876	-21.9938365211428	3.29884426753198e-107	3.29807709444651e-105
TCONS_00002344	1499.06705059961	-2.15587961674034	0.0984179066509	-21.9053594015925	2.30951757392946e-106	2.25650364780062e-104
TCONS_00000428	517.791402211992	2.8358815408021	0.129550419951505	21.8901763642578	3.22264930053815e-106	3.07870429844744e-104
TCONS_00000037	1102.66951659212	-2.29041898288576	0.104691720347422	-21.8777471158651	4.23240587321842e-106	3.87130060616297e-104
TCONS_00005257	9442.82048873429	1.83201438155909	0.0837371399427967	21.8781580408716	4.19444777747492e-106	3.87130060616297e-104
TCONS_00002615	6800.96660724802	-2.88002045223067	0.132067032402329	-21.8072625684279	1.9797253652051e-105	1.77309153021182e-103
TCONS_00001793	15809.572971225	1.91732714937686	0.0882403559202141	21.7284611942237	1.10441460901475e-104	9.68954776358045e-103
TCONS_00003408	1412.46255704693	2.07558674819872	0.0961234226038711	21.5929342919083	2.09293637362446e-103	1.79950669404231e-101
TCONS_00000353	863.145887533271	-2.82015767245551	0.130939452472132	-21.5378758594986	6.87896132132306e-103	5.79592913186122e-101
TCONS_00005020	4991.80453814291	2.04294998586251	0.0948576983698799	21.536997217626	7.0106609643355e-103	5.79592913186122e-101
TCONS_00001246	532.180738945788	-2.76886285574532	0.129061571078704	-21.4538133435306	4.2070902459038e-102	3.41250584285669e-100
TCONS_00000427	1005.48479479716	2.30635234136411	0.107534413262507	21.447574514904	4.81091865046891e-102	3.83002579228997e-100
TCONS_00003088	720.48917478366	-2.57653334923316	0.120368628850014	-21.4053559789541	1.19107808958077e-101	9.30989946746859e-100
TCONS_00002750	1848.59445434267	-2.42434869533778	0.114285661418961	-21.2130608970301	7.23488543308228e-100	5.55406651371799e-98
TCONS_00000086	7349.82040203838	-1.7733256585214	0.0843547300929207	-21.0222432881713	4.10563379970459e-98	3.09651222893509e-96
TCONS_00002632	3542.34230102255	2.88019185596476	0.138635403279011	20.7752982848704	7.24129344009936e-96	5.36729663775641e-94
TCONS_00000023	7403.30940547055	-1.98550986736918	0.0964759441789125	-20.5803621230914	4.11595255467024e-94	2.99906441229277e-92
TCONS_00003229	614.147144797117	-2.92672400511073	0.142374979245065	-20.5564490378121	6.73879757594321e-94	4.82834846316331e-92
TCONS_00000532	3308.76026781026	1.93843562434213	0.094670385018272	20.4756284023562	3.55138118533494e-93	2.50285044520573e-91
TCONS_00001423	560.591080989652	-2.39242869260266	0.116938876128643	-20.4587966962396	5.01610228420083e-93	3.47810059996442e-91
TCONS_00005035	4768.40326711197	-2.23965061302912	0.110004189254249	-20.3596847375757	3.81027406932367e-92	2.60005844825753e-90
TCONS_00004882	760.527331373173	-2.2434149192076	0.110336447099842	-20.3324919206213	6.63460218776776e-92	4.45658668831463e-90
TCONS_00005628	4853.51520452751	-2.22112373602877	0.109894964509263	-20.2113331211054	7.78175711029648e-91	5.14673443340994e-89
TCONS_00002429	1497.98499959615	2.07218252758576	0.102541156530261	20.2083007223958	8.27480788789805e-91	5.38990895607177e-89
TCONS_00000779	873.887330638272	4.51510589102106	0.22349821811064	20.2019771306898	9.40551489928075e-91	6.03497142567283e-89
TCONS_00000239	4305.57559266613	1.73744689408044	0.0860671955973627	20.1870977905277	1.27115474880267e-90	8.03631509573921e-89
TCONS_00004198	10987.4583328523	3.12352676501786	0.155372576237816	20.1034625327763	6.88202428697306e-90	4.28780034923147e-88
TCONS_00001936	1290.15979434555	-2.72502005409559	0.135565658947855	-20.1011087560439	7.21632374172507e-90	4.43185368081087e-88
TCONS_00005293	919.397583008869	2.58756808758231	0.129672730854186	19.9546047232704	1.36699685642195e-88	8.27706969825063e-87
TCONS_00003650	1354.98931653206	-3.06342708416521	0.153976567134764	-19.8954109782434	4.45937285291045e-88	2.66261720759195e-86
TCONS_00002642	261168.596795938	-1.66853020752085	0.0849147703273465	-19.6494697104951	5.84199828316767e-86	3.44037679716957e-84
TCONS_00005508	781.637934760203	-2.2942901148421	0.117699469768906	-19.4927820774958	1.26417653503356e-84	7.34418232987738e-83
TCONS_00005107	1352.49918684301	-2.00938514498418	0.103333054421811	-19.4457151801761	3.16826140885552e-84	1.79215207850919e-82
TCONS_00005154	35348.8123066821	-3.66942672306284	0.188695112741607	-19.4463262442183	3.13073863516606e-84	1.79215207850919e-82
TCONS_00003299	708.746443928195	-3.68757154712779	0.19052225877112	-19.355069433424	1.84745462090849e-83	1.03145550847865e-81
TCONS_00002294	1528.64168248046	-1.89028526017985	0.0980442317693371	-19.2799232149324	7.91939726686997e-83	4.36480626285564e-81
TCONS_00002239	801.360944564263	-1.95461458181585	0.101630872639443	-19.2324884265262	1.97900520522977e-82	1.0769295414282e-80
TCONS_00005234	19697.3553980828	-4.22727648794575	0.220348791297232	-19.1844777684463	4.98928341236194e-82	2.681116173718e-80
TCONS_00005088	848.477577131258	-2.13228553456788	0.111279546931517	-19.1615224303539	7.75707896653212e-82	4.11699783668168e-80
TCONS_00002656	1784.94378150997	-2.93979352182501	0.153719726852639	-19.1243738329251	1.58262452769429e-81	8.29719859092411e-80
TCONS_00002614	6359.71113405609	-2.30218372207795	0.120824179325669	-19.053998420901	6.08703200244877e-81	3.15278922632858e-79
TCONS_00000342	349.803031449779	-3.16101593103576	0.165961424289894	-19.0466907870967	6.99891445859825e-81	3.58194443541832e-79
TCONS_00003393	2722.62046002142	-1.95428211865624	0.102935926861149	-18.9854230514909	2.25115863733382e-80	1.13855658610566e-78
TCONS_00001898	1779.68103862648	-2.15489740021344	0.113879456102268	-18.9226175990713	7.42725417964566e-80	3.7127634556159e-78
TCONS_00004791	1052.6087012472	2.36608911302471	0.125311720129529	18.8816266393838	1.61533745153078e-79	7.98199506221934e-78
